date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:29:25	260/260	---MCZ	200	added ('OK')	text/plain	date:Tue,%2014%20Jan%202025%2023:29:24%20GMT	https://yorkhouse.libguides.com/robots.txt		(from )
15:29:26	0/0	---MC-	302	error ('Found')	text/html	date:Tue,%2014%20Jan%202025%2023:29:25%20GMT	https://yorkhouse.libguides.com/	/Users/kafseth/websites/SLC/yorkhouse.libguides.com/index.html	(from )
15:29:27	96166/96166	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jan%202025%2023:29:26%20GMT	https://yorkhouse.libguides.com/home	/Users/kafseth/websites/SLC/yorkhouse.libguides.com/home.html	(from https://yorkhouse.libguides.com/)
15:29:28	96166/96166	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jan%202025%2023:29:27%20GMT	https://yorkhouse.libguides.com/c.php?g=741336&p=5354732	/Users/kafseth/websites/SLC/yorkhouse.libguides.com/c3b6a.html	(from https://yorkhouse.libguides.com/home)
15:29:29	38633/38633	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jan%202025%2023:29:28%20GMT	https://yorkhouse.libguides.com/az.php	/Users/kafseth/websites/SLC/yorkhouse.libguides.com/az.html	(from https://yorkhouse.libguides.com/home)
15:29:29	0/0	---MC-	302	error ('Found')	text/html	date:Tue,%2014%20Jan%202025%2023:29:29%20GMT	https://yorkhouse.libguides.com/resources/catalogue	/Users/kafseth/websites/SLC/yorkhouse.libguides.com/resources/catalogue	(from https://yorkhouse.libguides.com/home)
15:29:31	26779/26779	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jan%202025%2023:29:30%20GMT	https://yorkhouse.libguides.com/orders	/Users/kafseth/websites/SLC/yorkhouse.libguides.com/orders.html	(from https://yorkhouse.libguides.com/home)
15:29:32	28238/28238	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jan%202025%2023:29:31%20GMT	https://yorkhouse.libguides.com/how-to	/Users/kafseth/websites/SLC/yorkhouse.libguides.com/how-to.html	(from https://yorkhouse.libguides.com/home)
15:29:33	43373/43373	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jan%202025%2023:29:32%20GMT	https://yorkhouse.libguides.com/how-to/research-sources	/Users/kafseth/websites/SLC/yorkhouse.libguides.com/how-to/research-sources.html	(from https://yorkhouse.libguides.com/home)
15:29:34	36973/36973	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jan%202025%2023:29:33%20GMT	https://yorkhouse.libguides.com/how-to/find-your-book	/Users/kafseth/websites/SLC/yorkhouse.libguides.com/how-to/find-your-book.html	(from https://yorkhouse.libguides.com/home)
15:29:35	33214/33214	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jan%202025%2023:29:34%20GMT	https://yorkhouse.libguides.com/how-to/3d-printing	/Users/kafseth/websites/SLC/yorkhouse.libguides.com/how-to/3d-printing.html	(from https://yorkhouse.libguides.com/home)
